id;text;i_18_n;group;link;external_link;target;icon;disabled;hide;hide_in_breadcrumb;shortcut;shortcut_root;reuse;code;description;type;order;api_permission_codes;parent_id;component_file;redirect
1;主导航;;true;/;;TOP;;false;false;true;false;false;false;index;;MENU;1;;NULL;LAYOUT;/dashboard
2;仪表盘;;false;/dashboard;;PARENT;ant-design:appstore-outlined;false;false;false;false;false;false;dashboard;;MENU;1;;1;LAYOUT;/dashboard/analysis
3;分析页;;false;/dashboard/analysis;;BLANK;;false;false;false;false;false;false;dashboard-analysis;;MENU;0;;2;dashboard/Analysis;
77;设置;;true;/settings;;NULL;;false;false;true;false;false;false;settings;;MENU;1;;NULL;LAYOUT;/entities/system
87;业务;;true;/entities;;NULL;;false;false;true;false;false;false;business;;MENU;1;;NULL;LAYOUT;
105;系统设置;;false;/settings/system;;NULL;ion:settings-outline;false;false;false;false;false;false;settings-system;;MENU;1;;87;LAYOUT;
107;缓存管理;;false;/system/cache-manage;;SELF;;false;false;false;false;false;false;system-cache-manage;;MENU;1;;105;system/cache-manage/cache-manage;
108;数据可视;;false;/entities/report;;SELF;ion:bar-chart-outline;false;false;false;false;false;false;report;;MENU;1;;87;LAYOUT;
109;API权限;;false;/system/api-permission;;SELF;;false;false;false;false;false;false;systemApiPermissionList;;MENU;1;;105;system/api-permission/api-permission-list;;NULL
110;编辑API权限;;false;/system/api-permission/:entityId/edit;;SELF;;false;true;false;false;false;false;systemApiPermissionEdit;;MENU;1;;105;system/api-permission/api-permission-edit;;NULL
111;新建API权限;;false;/system/api-permission/new;;SELF;;false;true;false;false;false;false;systemApiPermissionNew;;MENU;1;;105;system/api-permission/api-permission-edit;;NULL
112;查看API权限;;false;/system/api-permission/detail;;SELF;;false;true;false;false;false;false;systemApiPermissionDetail;;MENU;1;;105;system/api-permission/api-permission-detail;;NULL
113;oss;;false;/oss;;SELF;NULL;false;false;false;false;false;false;oss;;MENU;1;;87;LAYOUT;;NULL
114;对象存储配置;;false;/oss/oss-config;;SELF;;false;false;false;false;false;false;ossOssConfigList;;MENU;1;;113;files/oss-config/oss-config-list;;NULL
115;编辑对象存储配置;;false;/oss/oss-config/:entityId/edit;;SELF;;false;true;false;false;false;false;ossOssConfigEdit;;MENU;1;;113;files/oss-config/oss-config-edit;;NULL
116;新建对象存储配置;;false;/oss/oss-config/new;;SELF;;false;true;false;false;false;false;ossOssConfigNew;;MENU;1;;113;files/oss-config/oss-config-edit;;NULL
117;查看对象存储配置;;false;/oss/oss-config/detail;;SELF;;false;true;false;false;false;false;ossOssConfigDetail;;MENU;1;;113;files/oss-config/oss-config-detail;;NULL
118;报表存储;;false;/report/u-report-file;;SELF;;false;false;false;false;false;false;reportUReportFileList;;MENU;1;;108;report/u-report-file/u-report-file-list;;NULL
119;编辑报表存储;;false;/report/u-report-file/:entityId/edit;;SELF;;false;true;false;false;false;false;reportUReportFileEdit;;MENU;1;;108;report/u-report-file/u-report-file-edit;;NULL
120;新建报表存储;;false;/report/u-report-file/new;;SELF;;false;true;false;false;false;false;reportUReportFileNew;;MENU;1;;108;report/u-report-file/u-report-file-edit;;NULL
121;查看报表存储;;false;/report/u-report-file/detail;;SELF;;false;true;false;false;false;false;reportUReportFileDetail;;MENU;1;;108;report/u-report-file/u-report-file-detail;;NULL
122;文件管理;;false;/files;;SELF;NULL;false;false;false;false;false;false;files;;MENU;1;;87;LAYOUT;;NULL
123;资源分类;;false;/files/resource-category;;SELF;;false;false;false;false;false;false;ossResourceCategoryList;;MENU;1;;122;files/resource-category/resource-category-list;;NULL
124;编辑资源分类;;false;/files/resource-category/:entityId/edit;;SELF;;false;true;false;false;false;false;ossResourceCategoryEdit;;MENU;1;;122;files/resource-category/resource-category-edit;;NULL
125;新建资源分类;;false;/files/resource-category/new;;SELF;;false;true;false;false;false;false;ossResourceCategoryNew;;MENU;1;;122;files/resource-category/resource-category-edit;;NULL
126;查看资源分类;;false;/files/resource-category/detail;;SELF;;false;true;false;false;false;false;ossResourceCategoryDetail;;MENU;1;;122;files/resource-category/resource-category-detail;;NULL
127;配置管理;;false;/settings;;SELF;NULL;false;false;false;false;false;false;settings;;MENU;1;;87;LAYOUT;;NULL
128;数据字典;;false;/settings/dictionary;;SELF;;false;false;false;false;false;false;systemDictionaryList;;MENU;1;;127;settings/dictionary/dictionary-list;;NULL
129;编辑数据字典;;false;/settings/dictionary/:entityId/edit;;SELF;;false;true;false;false;false;false;systemDictionaryEdit;;MENU;1;;127;settings/dictionary/dictionary-edit;;NULL
130;新建数据字典;;false;/settings/dictionary/new;;SELF;;false;true;false;false;false;false;systemDictionaryNew;;MENU;1;;127;settings/dictionary/dictionary-edit;;NULL
131;查看数据字典;;false;/settings/dictionary/detail;;SELF;;false;true;false;false;false;false;systemDictionaryDetail;;MENU;1;;127;settings/dictionary/dictionary-detail;;NULL
132;角色;;false;/system/authority;;SELF;;false;false;false;false;false;false;systemAuthorityList;;MENU;1;;105;system/authority/authority-list;;NULL
